MsgID.LOCAL_POSITION,40.0350000,-0.6815057,-0.8110524,-4.9551105
MsgID.LOCAL_VELOCITY,40.0350000,-3.0137887,-3.5844913,-0.1443219
MsgID.GLOBAL_POSITION,0.0000000,-122.3974691,37.7924675,4.9630000
MsgID.LOCAL_VELOCITY,0.0000000,-2.2300000,-2.2700000,-0.0900000
MsgID.LOCAL_POSITION,40.2840000,-1.3779408,-1.7008208,-4.9636931
MsgID.LOCAL_VELOCITY,40.2840000,-2.2345588,-2.2770741,-0.0960045
MsgID.GLOBAL_POSITION,0.0000000,-122.3974730,37.7924632,4.9670000
MsgID.LOCAL_VELOCITY,0.0000000,-1.4300000,-1.0300000,-0.1000000
MsgID.LOCAL_POSITION,40.5350000,-1.8587830,-2.0519176,-4.9679437
MsgID.LOCAL_VELOCITY,40.5350000,-1.4379423,-1.0339379,-0.1044670
MsgID.GLOBAL_POSITION,0.0000000,-122.3974735,37.7924598,4.9780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.6400000,0.0600000,-0.0400000
MsgID.LOCAL_POSITION,40.7850000,-2.2364001,-2.0954065,-4.9782581
MsgID.LOCAL_VELOCITY,40.7850000,-0.6422841,0.0682709,-0.0452473
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974720,37.7924605,4.9760000
MsgID.LOCAL_VELOCITY,0.0000000,0.1600000,1.0500000,0.0200000
MsgID.LOCAL_POSITION,41.0350000,-2.1567042,-1.9577466,-4.9763594
MsgID.LOCAL_VELOCITY,41.0350000,0.1632984,1.0517730,0.0291573
MsgID.GLOBAL_POSITION,0.0000000,-122.3974681,37.7924631,4.9750000
MsgID.LOCAL_VELOCITY,0.0000000,0.9500000,1.9800000,0.0500000
MsgID.LOCAL_POSITION,41.2850000,-1.8746963,-1.6108400,-4.9755273
MsgID.LOCAL_VELOCITY,41.2850000,0.9518527,1.9871292,0.0500772
MsgID.GLOBAL_POSITION,0.0000000,-122.3974596,37.7924661,4.9800000
MsgID.LOCAL_VELOCITY,0.0000000,1.7100000,2.8500000,0.0400000
MsgID.LOCAL_POSITION,41.5350000,-1.5333885,-0.8602370,-4.9802923
MsgID.LOCAL_VELOCITY,41.5350000,1.7109575,2.8536453,0.0415733
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924696,4.9790000
MsgID.LOCAL_VELOCITY,0.0000000,2.2700000,3.1000000,0.0800000
MsgID.LOCAL_POSITION,41.7860000,-1.1451348,-0.1567603,-4.9797688
MsgID.LOCAL_VELOCITY,41.7860000,2.2731893,3.1031177,0.0865771
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974450,37.7924743,4.9770000
MsgID.LOCAL_VELOCITY,0.0000000,2.1700000,2.5700000,0.0400000
MsgID.LOCAL_POSITION,42.0350000,-0.6241729,0.4398088,-4.9773908
MsgID.LOCAL_VELOCITY,42.0350000,2.1768982,2.5708387,0.0483461
MsgID.GLOBAL_POSITION,0.0000000,-122.3974386,37.7924786,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,1.7500000,1.7100000,0.0500000
MsgID.LOCAL_POSITION,42.2850000,-0.1533654,1.0106326,-4.9812255
MsgID.LOCAL_VELOCITY,42.2850000,1.7562491,1.7183837,0.0527504
MsgID.GLOBAL_POSITION,0.0000000,-122.3974345,37.7924826,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.8600000,0.7800000,0.0700000
MsgID.LOCAL_POSITION,42.5360000,0.2992665,1.3704597,-4.9848328
MsgID.LOCAL_VELOCITY,42.5360000,1.8695459,0.7885487,0.0763717
MsgID.GLOBAL_POSITION,0.0000000,-122.3974336,37.7924862,4.9780000
MsgID.LOCAL_VELOCITY,0.0000000,1.6200000,0.3000000,0.1100000
MsgID.LOCAL_POSITION,42.7850000,0.6904644,1.4568305,-4.9785757
MsgID.LOCAL_VELOCITY,42.7850000,1.6290061,0.3028529,0.1107891
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974334,37.7924889,4.9710000
MsgID.LOCAL_VELOCITY,0.0000000,1.3200000,0.6200000,0.0400000
MsgID.LOCAL_POSITION,43.0360000,0.9916878,1.4672263,-4.9718146
